Title,Year,Director,Directors,Runtime_Minutes,Genre,IMDb_Rating,RT_Critic_Percent,RT_Audience_Percent,Theatrical_Score,Category,Director_Block,Franchise,Collection,Shelf_Section,Shelf_Order,4K_Status,HDR_Format,Dolby_Vision,Disc_Notes,Source_Notes,Metadata_Verified
The Fifth Element,1997,Luc Besson,Luc Besson,126,Science Fiction; Action; Adventure,7.6,70,,,Film,Luc Besson,,,Director block: Luc Besson,1,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Lucy,2014,Luc Besson,Luc Besson,89,Action; Science Fiction,6.4,67,,,Film,Luc Besson,,,Director block: Luc Besson,2,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Anna,2019,Luc Besson,Luc Besson,119,Action; Adventure; Thriller,6.7,33,,,Film,Luc Besson,,,Director block: Luc Besson,3,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Blue Velvet,1986,David Lynch,David Lynch,120,Mystery; Thriller; Crime,7.7,91,,,Film,David Lynch,,,Director block: David Lynch,4,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Twin Peaks: Fire Walk with Me,1992,David Lynch,David Lynch,135,Drama; Mystery; Horror,7.3,67,,,Film,David Lynch,,,Director block: David Lynch,5,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Lost Highway,1997,David Lynch,David Lynch,134,Drama; Thriller; Mystery,7.6,70,,,Film,David Lynch,,,Director block: David Lynch,6,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Mulholland Drive,2001,David Lynch,David Lynch,147,Thriller; Drama; Mystery,7.9,83,,,Film,David Lynch,,,Director block: David Lynch,7,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Dark Knight,2008,Christopher Nolan,Christopher Nolan,152,Action; Crime; Thriller,9.1,94,,,Film,Christopher Nolan,,,Director block: Christopher Nolan,8,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Interstellar,2014,Christopher Nolan,Christopher Nolan,169,Adventure; Drama; Science Fiction,8.7,73,,,Film,Christopher Nolan,,,Director block: Christopher Nolan,9,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Tenet,2020,Christopher Nolan,Christopher Nolan,150,Action; Thriller; Science Fiction,7.3,70,,,Film,Christopher Nolan,,,Director block: Christopher Nolan,10,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Oppenheimer,2023,Christopher Nolan,Christopher Nolan,181,Drama; History,8.2,93,,,Film,Christopher Nolan,,,Director block: Christopher Nolan,11,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Get Out,2017,Jordan Peele,Jordan Peele,104,Mystery; Thriller; Horror,7.8,98,,,Film,Jordan Peele,,,Director block: Jordan Peele,12,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Us,2019,Jordan Peele,Jordan Peele,116,Horror; Mystery,6.8,93,,,Film,Jordan Peele,,,Director block: Jordan Peele,13,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Nope,2022,Jordan Peele,Jordan Peele,130,Horror; Science Fiction; Thriller,6.8,83,,,Film,Jordan Peele,,,Director block: Jordan Peele,14,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Alien,1979,Ridley Scott,Ridley Scott,117,Horror; Science Fiction,8.5,93,,,Film,Ridley Scott,,,Director block: Ridley Scott,15,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Prometheus,2012,Ridley Scott,Ridley Scott,124,Science Fiction; Mystery; Horror,7.0,73,,,Film,Ridley Scott,,,Director block: Ridley Scott,16,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Exodus: Gods and Kings,2014,Ridley Scott,Ridley Scott,150,Adventure; Drama; Action,6.0,29,,,Film,Ridley Scott,,,Director block: Ridley Scott,17,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Sugarland Express,1974,Steven Spielberg,Steven Spielberg,110,Crime; Drama,6.7,87,,,Film,Steven Spielberg,,,Director block: Steven Spielberg,18,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Jaws,1975,Steven Spielberg,Steven Spielberg,124,Horror; Thriller; Adventure,8.1,97,,,Film,Steven Spielberg,,,Director block: Steven Spielberg,19,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Close Encounters of the Third Kind,1977,Steven Spielberg,Steven Spielberg,137,Science Fiction; Drama,7.6,91,,,Film,Steven Spielberg,,,Director block: Steven Spielberg,20,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
E.T. the Extra-Terrestrial,1982,Steven Spielberg,Steven Spielberg,115,Adventure; Science Fiction; Family,7.9,99,,,Film,Steven Spielberg,,,Director block: Steven Spielberg,21,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Schindler's List,1993,Steven Spielberg,Steven Spielberg,195,Drama; History; War,9.0,98,,,Film,Steven Spielberg,,,Director block: Steven Spielberg,22,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
John Wick,2014,Chad Stahelski,Chad Stahelski,101,Action; Thriller,7.5,87,,,Film,Chad Stahelski,,,Director block: Chad Stahelski,23,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
John Wick: Chapter 2,2017,Chad Stahelski,Chad Stahelski,122,Action; Thriller; Crime,7.4,89,,,Film,Chad Stahelski,,,Director block: Chad Stahelski,24,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
John Wick: Chapter 3 - Parabellum,2019,Chad Stahelski,Chad Stahelski,131,Action; Thriller; Crime,7.4,89,,,Film,Chad Stahelski,,,Director block: Chad Stahelski,25,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Sicario,2015,Denis Villeneuve,Denis Villeneuve,122,Action; Crime; Thriller,7.7,91,,,Film,Denis Villeneuve,,,Director block: Denis Villeneuve,26,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Dune,2021,Denis Villeneuve,Denis Villeneuve,155,Science Fiction; Adventure,8.0,83,,,Film,Denis Villeneuve,,,Director block: Denis Villeneuve,27,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Dune: Part Two,2024,Denis Villeneuve,Denis Villeneuve,167,Science Fiction; Adventure,8.4,92,,,Film,Denis Villeneuve,,,Director block: Denis Villeneuve,28,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Shaun of the Dead,2004,Edgar Wright,Edgar Wright,99,Horror; Comedy,7.8,92,,,Film,Edgar Wright,,,Director block: Edgar Wright,29,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Hot Fuzz,2007,Edgar Wright,Edgar Wright,121,Crime; Action; Comedy,7.8,91,,,Film,Edgar Wright,,,Director block: Edgar Wright,30,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Scott Pilgrim vs. the World,2010,Edgar Wright,Edgar Wright,113,Action; Comedy; Romance,7.5,83,,,Film,Edgar Wright,,,Director block: Edgar Wright,31,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The World's End,2013,Edgar Wright,Edgar Wright,109,Comedy; Action; Science Fiction,6.9,89,,,Film,Edgar Wright,,,Director block: Edgar Wright,32,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
47 Ronin,2013,Carl Rinsch,Carl Rinsch,119,Drama; Action; Fantasy,6.2,16,,,Film,,,,Alphabetical,33,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Alita: Battle Angel,2019,Robert Rodriguez,Robert Rodriguez,122,Action; Science Fiction; Adventure,7.3,61,,,Film,,,,Alphabetical,34,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Apocalypse Now,1979,Francis Ford Coppola,Francis Ford Coppola,147,Drama; War,8.4,91,,,Film,,,,Alphabetical,35,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Batman,1989,Tim Burton,Tim Burton,126,Fantasy; Action; Crime,7.5,77,,,Film,,,,Alphabetical,36,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Big Lebowski,1998,Joel Coen,Joel Coen; Ethan Coen,117,Comedy; Crime,8.1,79,,,Film,,,,Alphabetical,37,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Bohemian Rhapsody,2018,Bryan Singer,Bryan Singer,135,Music; Drama,7.9,60,,,Film,,,,Alphabetical,38,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Cabin in the Woods,2012,Drew Goddard,Drew Goddard,95,Horror; Mystery; Comedy,7.0,92,,,Film,,,,Alphabetical,39,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
A Clockwork Orange,1971,Stanley Kubrick,Stanley Kubrick,137,Science Fiction; Crime,8.2,86,,,Film,,,,Alphabetical,40,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Cold Pursuit,2019,Hans Petter Moland,Hans Petter Moland,119,Crime; Action; Drama,6.2,68,,,Film,,,,Alphabetical,41,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Companion,2025,Drew Hancock,Drew Hancock,97,Horror; Science Fiction; Thriller,6.9,93,,,Film,,,,Alphabetical,42,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Conjuring,2013,James Wan,James Wan,112,Horror; Thriller,7.5,86,,,Film,,,,Alphabetical,43,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Deadpool,2016,Tim Miller,Tim Miller,108,Action; Adventure; Comedy,8.0,85,,,Film,,,,Alphabetical,44,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Deadpool 2,2018,David Leitch,David Leitch,120,Action; Comedy; Adventure,7.6,83,,,Film,,,,Alphabetical,45,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Deep Red,1975,Dario Argento,Dario Argento,127,Horror; Mystery; Thriller,7.5,94,,,Film,,,,Alphabetical,46,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Die Hard,1988,John McTiernan,John McTiernan,132,Action; Thriller,8.2,94,,,Film,,,,Alphabetical,47,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Doctor Sleep,2019,Mike Flanagan,Mike Flanagan,152,Horror; Fantasy,7.3,79,,,Film,,,,Alphabetical,48,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Dracula Untold,2014,Gary Shore,Gary Shore,92,Horror; Action; Fantasy,6.2,26,,,Film,,,,Alphabetical,49,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Evil Dead Rise,2023,Lee Cronin,Lee Cronin,96,Horror; Thriller,6.5,85,,,Film,,,,Alphabetical,50,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Ex Machina,2015,Alex Garland,Alex Garland,108,Drama; Science Fiction,7.7,92,,,Film,,,,Alphabetical,51,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Fifty Shades Darker,2017,James Foley,James Foley,118,Drama; Romance,4.6,11,,,Film,,,,Alphabetical,52,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Fifty Shades Freed,2018,James Foley,James Foley,105,Drama; Romance,4.6,11,,,Film,,,,Alphabetical,53,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Fifty Shades of Grey,2015,Sam Taylor-Johnson,Sam Taylor-Johnson,125,Drama; Romance; Thriller,4.2,25,,,Film,,,,Alphabetical,54,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Ghost in the Shell,2017,Rupert Sanders,Rupert Sanders,107,Science Fiction; Drama; Action,6.3,42,,,Film,,,,Alphabetical,55,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Glass,2019,M. Night Shyamalan,M. Night Shyamalan,129,Thriller; Drama; Science Fiction,6.6,37,,,Film,,,,Alphabetical,56,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Gone Girl,2014,David Fincher,David Fincher,149,Mystery; Thriller; Drama,8.1,88,,,Film,,,,Alphabetical,57,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Great Wall,2016,Zhang Yimou,Zhang Yimou,103,Action; Adventure; Fantasy,5.9,36,,,Film,,,,Alphabetical,58,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Green Knight,2021,David Lowery,David Lowery,130,Adventure; Drama; Fantasy,6.6,88,,,Film,,,,Alphabetical,59,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Gremlins,1984,Joe Dante,Joe Dante,106,Fantasy; Horror; Comedy,7.3,86,,,Film,,,,Alphabetical,60,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Hacksaw Ridge,2016,Mel Gibson,Mel Gibson,139,Drama; History; War,8.1,84,,,Film,,,,Alphabetical,61,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Halloween Kills,2021,David Gordon Green,David Gordon Green,105,Horror; Thriller,5.5,38,,,Film,,,,Alphabetical,62,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Hereditary,2018,Ari Aster,Ari Aster,128,Horror; Mystery; Thriller,7.3,90,56,,Film,,,,Alphabetical,63,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Howling,1981,Joe Dante,Joe Dante,91,Horror,6.5,76,,,Film,,,,Alphabetical,64,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Independence Day: Resurgence,2016,Roland Emmerich,Roland Emmerich,120,Action; Adventure; Science Fiction,5.2,29,,,Film,,,,Alphabetical,65,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
